site,year,month,ppt,tmin,tmean,tmax,vpdmin,vpdmax,vpdmean
BD,1999,1,26.26,-6.9,0.1,7.2,1.4,7.78,4.59
BD,1999,2,2.21,-5,2.3,9.5,1.95,9.31,5.63
BD,1999,3,18.29,-3.4,4.1,11.6,1.36,11.68,6.52
BD,1999,4,193.47,-3.6,2.2,8.1,0.94,7.46,4.2
BD,1999,5,102.76,1.7,7.8,14,1.06,11.2,6.13
BD,1999,6,75.44,7.5,13.6,19.6,2.31,15.21,8.76
BD,1999,7,36.72,12.4,19.4,26.5,3.2,25.07,14.135
BD,1999,8,65.74,11.3,17.7,24,2.4,19.51,10.955
BD,1999,9,45.9,3.9,11.1,18.4,1.54,15.3,8.42
BD,1999,10,26.25,2.1,8.8,15.6,3.51,15.37,9.44
BD,1999,11,18.1,-0.8,6.5,13.7,3.63,13.91,8.77
BD,1999,12,6.8,-3.5,0.8,5,2.37,8.06,5.215
BD,2000,1,15.32,-6.6,-0.4,5.9,1.37,6.68,4.025
BD,2000,2,17.13,-5.5,2,9.6,1.33,9.77,5.55
BD,2000,3,47.74,-2.7,3.6,9.9,1.27,9.63,5.45
BD,2000,4,33.52,-0.3,6.6,13.6,1.94,12.73,7.335
BD,2000,5,45.69,5.9,11.8,17.7,3.04,15.28,9.16
BD,2000,6,33.04,9.8,16,22.2,4.59,20.94,12.765
BD,2000,7,48.92,14.4,20.9,27.3,5.59,29.18,17.385
BD,2000,8,71.05,12.4,19.4,26.4,4.71,25.94,15.325
BD,2000,9,74.26,6,13.1,20.2,3.21,18.4,10.805
BD,2000,10,14.64,0.8,6.8,12.7,1.29,9.61,5.45
BD,2000,11,19.67,-8.2,-2.4,3.4,0.82,5.34,3.08
BD,2000,12,12.68,-6.8,-1.5,3.8,0.75,5.29,3.02
BD,2001,1,10.98,-6.6,-1.1,4.3,1.56,5.95,3.755
BD,2001,2,8.77,-6.8,-1,4.8,1.1,6.07,3.585
BD,2001,3,35.48,-3.9,1,6,0.83,5.76,3.295
BD,2001,4,73.14,-1.7,4.4,10.5,1.01,8.95,4.98
BD,2001,5,94.22,3.4,9.6,15.8,1.89,13.11,7.5
BD,2001,6,20.45,8.1,15.7,23.3,3.3,22.59,12.945
BD,2001,7,34.42,14.3,21,27.7,5.98,28.59,17.285
BD,2001,8,71.22,13.3,19.3,25.2,5.57,23.03,14.3
BD,2001,9,29.15,8.3,15.3,22.2,4.37,21.52,12.945
BD,2001,10,14.96,2.3,8.4,14.5,3.19,13.23,8.21
BD,2001,11,23.95,-1.8,4.4,10.6,2.13,10.34,6.235
BD,2001,12,5.69,-7.2,-1.5,4.2,1.37,5.99,3.68
BD,2002,1,22.05,-9,-3.1,2.8,1.35,5.72,3.535
BD,2002,2,10.26,-9.3,-2.5,4.3,1.36,7.09,4.225
BD,2002,3,38.97,-9.1,-2.2,4.7,0.89,6.55,3.72
BD,2002,4,21.62,-1.3,5.2,11.7,1.76,10.71,6.235
BD,2002,5,67.48,1,7.9,14.9,1.41,12.38,6.895
BD,2002,6,26.65,10,17.6,25.1,5.3,26.33,15.815
BD,2002,7,21.11,13.8,21.3,28.8,6.67,31.63,19.15
BD,2002,8,29.43,8.9,17,25.1,3.08,24.58,13.83
BD,2002,9,57.96,7.7,14,20.3,4.17,18.7,11.435
BD,2002,10,38.02,-2.7,3.9,10.5,1.5,9.71,5.605
BD,2002,11,25.13,-5.1,0.9,6.9,1.53,8.38,4.955
BD,2002,12,1.44,-6.2,-0.7,4.8,1.57,6.82,4.195
BD,2003,1,1.05,-1.8,2.8,7.4,2.69,8.32,5.505
BD,2003,2,38.43,-10.2,-4.2,1.9,1.04,5.34,3.19
BD,2003,3,139.98,-4.7,0.9,6.6,1.45,7.25,4.35
BD,2003,4,67.38,-0.1,6,12,2.01,11.17,6.59
BD,2003,5,67.84,3.1,9.3,15.6,1.93,13.41,7.67
BD,2003,6,65.54,5.9,12.3,18.7,0.91,13.8,7.355
BD,2003,7,27.99,14,21.5,29,7.54,32.99,20.265
BD,2003,8,60.44,13.3,20,26.7,5.38,26.76,16.07
BD,2003,9,19.4,4.2,11.8,19.5,2.36,17.55,9.955
BD,2003,10,4.28,3.7,10.8,17.9,4.61,18.59,11.6
BD,2003,11,18.11,-5.9,0.5,6.9,1.27,7.72,4.495
BD,2003,12,15.75,-6.1,-0.3,5.4,1.75,7.25,4.5
BD,2004,1,12.89,-6.3,-0.8,4.6,2.01,7.34,4.675
BD,2004,2,24.63,-8,-2.4,3.3,1.33,5.88,3.605
BD,2004,3,11.86,-3.5,3.7,10.8,1.71,10.87,6.29
BD,2004,4,96.16,-0.8,5.2,11.2,1.59,9.84,5.715
BD,2004,5,44.66,3.6,10.3,17.1,2.86,15.56,9.21
BD,2004,6,86.11,6.4,13,19.6,2.09,16.05,9.07
BD,2004,7,97.52,10.8,17.2,23.6,2.98,20.3,11.64
BD,2004,8,116.21,9,15.5,22.1,2.65,18.3,10.475
BD,2004,9,59.76,7,13.2,19.3,3.39,16.57,9.98
BD,2004,10,47.85,1.8,7.8,13.8,1.44,10.83,6.135
BD,2004,11,44.79,-4.3,1.6,7.4,1.28,7.57,4.425
BD,2004,12,7.03,-5.8,-0.7,4.5,1.6,6.27,3.935
BD,2005,1,23.5,-5.4,0.7,6.8,1.32,7.76,4.54
BD,2005,2,14.63,-6,-0.7,4.6,1.24,6.05,3.645
BD,2005,3,29.43,-5,1,7.1,1.19,7.5,4.345
