site,year,tree,growth12,conematur,resinarea2,totalresinarea,meanductsize,wuecentered,cwd,FDSI
BD,2000,168,0.596666667,0,0.041849162,0.088,0.044,0.162665387,48.93559946,-0.214831853
BD,2000,160,0.362333333,0,0.41311231,0.079,0.01975,-0.505011985,48.93559946,-0.214831853
BD,2000,166,0.7995,0,0.517181727,0.324,0.036,-0.765585554,48.93559946,-0.214831853
BD,2001,160,0.473333333,0,1.495671238,0.248,0.017714286,-0.505011985,48.93559946,-0.495075504
BD,2001,168,0.519666667,26.6,0.147402854,0.31,0.031,0.162665387,48.93559946,-0.495075504
BD,2001,166,0.535,0,0.142615024,0.091,0.030333333,-0.765585554,48.93559946,-0.495075504
BD,2002,159,0.105333333,0,0,0,0,0.183544431,48.93559946,-0.645251884
BD,2002,161,0.157333333,0,0,0,0,0.40282614,48.93559946,-0.645251884
BD,2002,166,0.4135,56,0.090277128,0.057,0.0285,-0.765585554,48.93559946,-0.645251884
BD,2002,160,0.169,0,0,0,0,-0.505011985,48.93559946,-0.645251884
BD,2002,165,0.0655,22.5,0,0,0,1.176286905,48.93559946,-0.645251884
BD,2002,168,0.345,0,0.024928062,0.052,0.026,0.162665387,48.93559946,-0.645251884
BD,2003,161,0.625,98.4,0.352460206,0.58,0.025217391,0.40282614,48.93559946,0.720792318
BD,2003,165,0.3635,0,0.252856308,0.222,0.020181818,1.176286905,48.93559946,0.720792318
BD,2003,163,0.521333333,0,0.190360556,0.334,0.030363636,-0.160850287,48.93559946,0.720792318
BD,2003,166,0.764,11.2,0.233006965,0.143,0.0286,-0.765585554,48.93559946,0.720792318
BD,2003,168,0.643,53.2,0.135660974,0.291,0.032333333,0.162665387,48.93559946,0.720792318
BD,2003,164,0.116,15.2,0.178474851,0.033,0.0165,-0.160850287,48.93559946,0.720792318
BD,2003,159,0.389666667,0,0.056238296,0.111,0.0222,0.183544431,48.93559946,0.720792318
BD,2003,160,0.819,86.00000004,1.593874528,0.286,0.019066667,-0.505011985,48.93559946,0.720792318
BD,2004,161,0.5,0,0.092628649,0.152,0.0304,0.40282614,48.93559946,-0.486799789
BD,2004,167,0.738666667,0,0.201930537,0.38,0.027142857,0.371494396,48.93559946,-0.486799789
BD,2004,165,0.2465,0,0,0,0,1.176286905,48.93559946,-0.486799789
BD,2004,163,0.261333333,0,0.076126531,0.131,0.03275,-0.160850287,48.93559946,-0.486799789
BD,2004,168,0.88,0,0.019478726,0.042,0.042,0.162665387,48.93559946,-0.486799789
BD,2004,159,0.296666667,0,0.015973188,0.032,0.032,0.183544431,48.93559946,-0.486799789
BD,2004,166,1.1395,0,0.415268037,0.25,0.027777778,-0.765585554,48.93559946,-0.486799789
