site,tree,Year,Area
BD,159,2000,0.018
BD,159,2000,0.019
BD,159,2001,0.006
BD,159,2001,0.012
BD,159,2001,0.012
BD,159,2001,0.012
BD,159,2001,0.012
BD,159,2001,0.015
BD,159,2001,0.016
BD,159,2001,0.016
BD,159,2001,0.016
BD,159,2001,0.016
BD,159,2001,0.017
BD,159,2001,0.018
BD,159,2001,0.021
BD,159,2001,0.023
BD,159,2001,0.025
BD,159,2002,0
BD,159,2003,0.011
BD,159,2003,0.018
BD,159,2003,0.022
BD,159,2003,0.028
BD,159,2003,0.032
BD,159,2004,0.032
BD,159,2005,0.012
BD,159,2005,0.015
BD,159,2006,0.013
BD,159,2007,0.007
BD,159,2007,0.008
BD,159,2007,0.011
BD,159,2007,0.013
BD,159,2007,0.014
BD,159,2007,0.015
BD,159,2007,0.015
BD,159,2007,0.015
BD,159,2007,0.015
BD,159,2007,0.018
BD,159,2007,0.019
BD,159,2007,0.019
BD,159,2007,0.019
BD,159,2007,0.019
BD,159,2007,0.02
BD,159,2007,0.022
BD,159,2007,0.025
BD,159,2007,0.031
BD,159,2008,0.015
BD,159,2008,0.027
BD,159,2009,0.02
BD,159,2009,0.026
BD,159,2010,0.019
BD,159,2010,0.024
BD,159,2011,0.004
BD,159,2011,0.009
BD,159,2011,0.01
BD,159,2011,0.012
BD,159,2011,0.014
BD,159,2011,0.015
BD,159,2011,0.017
BD,159,2011,0.018
BD,159,2012,0.013
BD,159,2012,0.017
BD,159,2012,0.018
BD,159,2012,0.029
BD,159,2013,0.008
BD,159,2013,0.018
BD,159,2013,0.019
BD,159,2013,0.02
BD,159,2013,0.03
BD,159,2013,0.034
BD,159,2014,0
BD,159,2015,0.006
BD,159,2015,0.011
BD,159,2015,0.013
BD,159,2015,0.016
BD,159,2015,0.017
BD,159,2015,0.019
BD,159,2015,0.019
BD,159,2015,0.019
BD,159,2015,0.019
BD,159,2015,0.023
BD,159,2015,0.025
BD,159,2016,0.004
BD,159,2016,0.006
BD,159,2016,0.013
BD,159,2016,0.013
BD,159,2016,0.013
BD,159,2016,0.013
BD,159,2016,0.015
BD,159,2016,0.017
BD,159,2016,0.02
BD,159,2016,0.021
BD,159,2016,0.021
BD,159,2016,0.021
BD,159,2016,0.021
BD,159,2016,0.025
BD,159,2016,0.027
BD,159,2016,0.029
BD,159,2016,0.041
BD,159,2017,0.023
BD,159,2017,0.026
BD,159,2018,0.016
BD,159,2018,0.017
BD,159,2018,0.035
