"","site","year","tree","growth12","cones","growth5","slope","aspect","dbh","crown.class","height","crown.fullness","BA5","BA10","BA20","Leadershoots","conematur","coneinit","resinarea2","totalresinarea","meanductsize","wue","wuecentered","cwd","FDSI"
"1","BD",2000,"168",0.596666667,0,0.558,7.2,280,41.4,"dom",10.2,8.5,20,30,0,133,0,26.6,0.0418491621043986,0.088,0.044,17.6342056400735,0.162665386557592,48.9355994587882,-0.214831852728617
"2","BD",2000,"160",0.362333333,0,0.558,1.9,266,37.5,"dom",11.9,9,35,30,40,129,0,0,0.413112310229147,0.079,0.01975,16.966528269004,-0.505011984511814,48.9355994587882,-0.214831852728617
"3","BD",2000,"166",0.7995,0,0.72,0.8,303,28.3,"co",8.5,4,60,50,60,56,0,0,0.517181726724528,0.324,0.036,16.7059546991903,-0.765585554325536,48.9355994587882,-0.214831852728617
"4","BD",2001,"160",0.473333333,0,0.278,1.9,266,37.5,"dom",11.9,9,35,30,40,129,0,0,1.49567123795261,0.248,0.0177142857142857,16.966528269004,-0.505011984511814,48.9355994587882,-0.49507550413779
"5","BD",2001,"168",0.519666667,0.2,0.531,7.2,280,41.4,"dom",10.2,8.5,20,30,0,133,26.6,0,0.147402853958901,0.31,0.031,17.6342056400735,0.162665386557592,48.9355994587882,-0.49507550413779
"6","BD",2001,"166",0.535,0,0.55,0.8,303,28.3,"co",8.5,4,60,50,60,56,0,56,0.142615024188762,0.091,0.0303333333333333,16.7059546991903,-0.765585554325536,48.9355994587882,-0.49507550413779
"7","BD",2002,"159",0.105333333,0,0.092,1.2,168,59,"dom",13.3,8,20,20,40,167,0,0,0,0,0,17.6550846849065,0.183544431390629,48.9355994587882,-0.645251883883394
"8","BD",2002,"161",0.157333333,0,0.495,0.8,173,40.3,"dom",12.2,7.5,20,40,20,123,0,98.4,0,0,0,17.8743663937286,0.402826140212721,48.9355994587882,-0.645251883883394
"9","BD",2002,"166",0.4135,1,0.418,0.8,303,28.3,"co",8.5,4,60,50,60,56,56,11.2,0.090277127976033,0.057,0.0285,16.7059546991903,-0.765585554325536,48.9355994587882,-0.645251883883394
"10","BD",2002,"160",0.169,0,0.598,1.9,266,37.5,"dom",11.9,9,35,30,40,129,0,86.000000043,0,0,0,16.966528269004,-0.505011984511814,48.9355994587882,-0.645251883883394
"11","BD",2002,"165",0.0655,0.5,0.076,6,265,24.8,"co",12,5,60,30,40,45,22.5,0,0,0,0,18.6478271584655,1.1762869049496,48.9355994587882,-0.645251883883394
