SampleID,d13CVPDB,TotalC,C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
FC-169-20,-25.65,645.98,,PIPO-2020-WUE,A1,wood,13C,1.3,1804096,518862,Q
FC-170-20,-24.65,565.69,,PIPO-2020-WUE,A2,wood,13C,1.3,1804097,518863,Q
FC-171-20,-24.87,830.03,,PIPO-2020-WUE,A3,wood,13C,1.6,1804098,518864,Q
FC-172-20,-25.32,659.33,,PIPO-2020-WUE,A4,wood,13C,1.4,1804099,518865,Q
FC-173-20,-24.91,743.73,,PIPO-2020-WUE,A5,wood,13C,1.7,1804100,518866,Q
FC-174-20,-25.15,681.57,,PIPO-2020-WUE,A6,wood,13C,1.8,1804101,518867,Q
FC-175-20,-25.39,621.48,,PIPO-2020-WUE,A7,wood,13C,1.3,1804102,518868,Q
FC-176-20,-25.2,650.43,,PIPO-2020-WUE,A8,wood,13C,1.4,1804103,518869,Q
FC-177-20,-24.56,703.79,,PIPO-2020-WUE,A9,wood,13C,1.5,1804104,518870,Q
FC-178-20,-25.22,525.44,,PIPO-2020-WUE,A10,wood,13C,1.3,1804105,518871,Q
BD-159-20,-25.21,601.41,,PIPO-2020-WUE,A11,wood,13C,1.4,1804106,518872,Q
BD-160-20,-24.55,599.18,,PIPO-2020-WUE,A12,wood,13C,1.3,1804107,518873,Q
BD-161-20,-25.42,639.3,,PIPO-2020-WUE,B1,wood,13C,1.4,1804108,518876,Q
BD-162-20,-24.39,648.21,,PIPO-2020-WUE,B2,wood,13C,1.6,1804109,518877,Q
BD-163-20,-24.88,558.99,,PIPO-2020-WUE,B3,wood,13C,1.3,1804110,518878,Q
BD-164-20,-24.88,654.88,,PIPO-2020-WUE,B4,wood,13C,1.5,1804111,518879,Q
BD-165-20,-26.16,659.33,,PIPO-2020-WUE,B5,wood,13C,1.5,1804112,518880,Q
BD-166-20,-24.3,663.78,,PIPO-2020-WUE,B6,wood,13C,1.6,1804113,518881,Q
BD-167-20,-25.39,710.45,,PIPO-2020-WUE,B7,wood,13C,1.6,1804114,518882,Q
BD-168-20,-25.19,706.01,,PIPO-2020-WUE,B8,wood,13C,1.4,1804115,518883,Q
LH-45-20,-26.63,712.67,,PIPO-2020-WUE,B9,wood,13C,1.5,1804116,518884,Q
LH-71-20,-24.76,668.23,,PIPO-2020-WUE,B10,wood,13C,1.6,1804117,518885,Q
LH-L73-20,-26.72,650.43,,PIPO-2020-WUE,B11,wood,13C,1.5,1804118,518886,Q
LH-L116-20,-25.21,594.72,,PIPO-2020-WUE,B12,wood,13C,1.4,1804119,518887,Q
LH-123-20,-26.19,529.92,,PIPO-2020-WUE,C1,wood,13C,1.3,1804120,518894,Q
LH-188-20,-25.12,614.79,,PIPO-2020-WUE,C2,wood,13C,1.3,1804121,518895,Q
LH-201-20,-25.14,630.39,,PIPO-2020-WUE,C3,wood,13C,1.4,1804122,518896,Q
LH-204-20,-25.64,694.91,,PIPO-2020-WUE,C4,wood,13C,1.5,1804123,518897,Q
LH-221-20,-24.46,523.2,,PIPO-2020-WUE,C5,wood,13C,1.3,1804124,518898,Q
LH-300-20,-25.05,717.11,,PIPO-2020-WUE,C6,wood,13C,1.5,1804125,518899,Q
BH-113-20,-25.71,690.46,,PIPO-2020-WUE,C7,wood,13C,1.4,1804126,518900,Q
BH-114-20,-23.97,561.22,,PIPO-2020-WUE,C8,wood,13C,1.1,1804127,518901,Q
BH-115-20,-25.52,706.01,,PIPO-2020-WUE,C9,wood,13C,1.5,1804128,518902,Q
BH-116-20,-25.92,601.41,,PIPO-2020-WUE,C10,wood,13C,1.3,1804129,518903,Q
BH-117-20,-25.72,750.38,,PIPO-2020-WUE,C11,wood,13C,1.7,1804130,518904,Q
BH-118-20,-25.58,659.33,,PIPO-2020-WUE,C12,wood,13C,1.5,1804131,518905,Q
BH-119-20,-25.36,679.35,,PIPO-2020-WUE,D1,wood,13C,1.5,1804132,518910,Q
BH-120-20,-25.86,608.1,,PIPO-2020-WUE,D2,wood,13C,1.5,1804133,518911,Q
BH-121-20,-25,768.1,,PIPO-2020-WUE,D3,wood,13C,1.6,1804134,518912,Q
