site,tree,Year,Length,Scar
BD,159,2000,14.103,0
BD,159,2001,14.084,0
BD,159,2002,14.035,0
BD,159,2003,14.049,0
BD,159,2004,14.154,0
BD,159,2005,14.235,0
BD,159,2006,14.412,0
BD,159,2007,14.433,0
BD,159,2008,14.436,0
BD,159,2009,14.149,0
BD,159,2010,14.262,0
BD,159,2011,14.063,0
BD,159,2012,11.986,0
BD,159,2013,14.701,0
BD,159,2014,14.43,0
BD,159,2015,14.506,0
BD,159,2016,14.292,0
BD,159,2017,14.567,0
BD,159,2018,14.469,0
BD,159,2019,14.484,0
BD,159,2020,14.661,0
BD,160,2000,4.373,0
BD,160,2001,4.072,0
BD,160,2002,4.181,0
BD,160,2003,4.236,0
BD,160,2004,4.056,0
BD,160,2005,4.335,0
BD,160,2006,4.208,0
BD,160,2007,4.497,0
BD,160,2008,4.146,0
BD,160,2009,4.538,0
BD,160,2010,4.132,0
BD,160,2011,4.441,0
BD,160,2012,4.31,0
BD,160,2013,4.523,0
BD,160,2014,4.104,0
BD,160,2015,4.609,0
BD,160,2016,4.101,0
BD,160,2017,4.637,0
BD,160,2018,4.556,0
BD,160,2019,4.889,0
BD,160,2020,4.346,0
BD,161,2000,12.762,0
BD,161,2001,12.768,0
BD,161,2002,12.819,0
BD,161,2003,12.828,0
BD,161,2004,12.81,0
BD,161,2005,12.804,0
BD,161,2006,12.641,0
BD,161,2007,12.781,0
BD,161,2008,12.867,0
BD,161,2009,13,0
BD,161,2010,13.016,0
BD,161,2011,12.817,0
BD,161,2012,12.56,0
BD,161,2013,12.688,0
BD,161,2014,12.916,0
BD,161,2015,13.296,0
BD,161,2016,13.254,0
BD,161,2017,13.715,0
BD,161,2018,13.269,0
BD,161,2019,14.19,0
BD,161,2020,14.487,0
BD,162,2000,12.308,0
BD,162,2001,12.415,0
BD,162,2002,12.35,0
BD,162,2003,12.357,0
BD,162,2004,12.414,0
BD,162,2005,12.236,0
BD,162,2006,12.21,0
BD,162,2007,12.353,0
BD,162,2008,12.304,0
BD,162,2009,12.259,0
BD,162,2010,12.367,0
BD,162,2011,12.32,0
BD,162,2012,12.349,0
BD,162,2013,12.594,0
BD,162,2014,12.54,0
BD,162,2015,12.555,0
BD,162,2016,13.384,0
BD,162,2017,13.44,0
BD,162,2018,13.89,0
BD,162,2019,13.781,0
BD,162,2020,13.668,0
BD,163,2000,13.233,0
BD,163,2001,13.233,0
BD,163,2002,13.159,0
BD,163,2003,13.246,0
BD,163,2004,13.118,0
BD,163,2005,13.189,0
BD,163,2006,13.335,0
BD,163,2007,13.386,0
BD,163,2008,13.504,0
BD,163,2009,13.399,0
BD,163,2010,13.379,0
BD,163,2011,13.322,0
