Year,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168
2020,0.297,0.417,0.816,0.816,0.158,0.249,0.512,0.361,0.781,0.679,2.292,3.323,1.764,1.861,2.908,1.847,1.641,2.3,2.965,2.409,1.836,1.225,0.254,1.335,1.526,0.682,1.044,0.104,0.667,0.683,0.445,0.165,0.193,0.137,0,0.17,0.039,0.749,1.168,0.147,0.81,1.102,0.371,0.657,0.48,0.19,0.464,0.195,0.243,0.267,0.829,1.518,0.64,1.415,1.691,1.764,1.138,1.204,2.345,1.257,0.162,0.287,0.278,0.418,0.27,0.61,0.641,0.094,0.459,0.219,0.409666667,0.565333333,1.021,0.963,0.791,0.763,0.5345,0.1795,0.598666667,0.743
2019,0.365,0.24,0.849,0.849,0.125,0.296,0.5,0.241,0.475,0.808,0.998,1.921,1.239,0.959,2.627,1.504,1.41,1.477,2.321,2.459,2.271,1.491,0.494,1.748,1.859,1.126,1.329,0.295,0.55,0.437,1.305,0.636,0.578,0.615,0.311,0.53,0.29,1.028,2.117,0.932,0.582,1.422,0.461,0.95,0.66,0.405,0.56,0.306,0.436,0.525,0.718,0.881,0.482,0.897,1.743,1.145,1.15,0.849,0.835,0.748,0.72,0.536,0.724,0.886,0.831,1.18,1.861,0.727,2.014,0.795,0.317666667,0.611333333,0.988666667,0.768666667,0.718,0.635,0.283,0.22,0.523,0.339
2018,0.364,0.483,1.002,1.002,0.25,0.418,0.486,0.411,0.366,0.869,1.964,2.749,0.973,1.683,2.637,1.93,3.781,1.995,2.755,3.243,1.815,1.272,0.226,0.821,0.292,0.706,0.768,0.152,0.42,0.486,0.47,0.137,0.244,0.327,0.235,0.385,0.533,1.623,1.519,0.66,0.328,1.677,1.762,0.994,0.667,0.254,0.523,0.123,0.749,0.627,1.108,1.551,0.532,2.142,2.233,2.793,1.393,1.547,1.534,1.053,0.032,0.144,0.585,0.313,0.161,0.305,0.908,0.201,0.341,0.187,0.542333333,0.876,1.051,1.426,0.54,0.587,0.3075,0.1675,0.430333333,0.562666667
2017,0.54,0.558,1.019,1.019,0.388,0.405,1.154,0.491,0.745,0.947,2.826,3.478,0.405,1.744,4.043,2.718,3.444,2.519,3.421,2.72,2.344,1.455,0.418,1.485,0.63,1.179,2.275,0.364,1.157,0.639,1.581,0.547,1.363,0.782,0.653,0.626,1.399,1.217,2.372,1.975,2.796,5.078,2.206,1.17,0.649,0.482,0.455,0.546,0.581,0.734,1.077,1.09,0.384,1.274,1.336,2.478,1.378,1.42,1.561,1.294,1.036,0.793,1.573,1.664,1.303,1.375,2.268,0.952,3.096,1.879,0.495333333,1.262,1.198333333,1.819333333,0.350333333,0.548333333,0.385,0.044,0.605,0.427
2016,0.297,0.312,0.874,0.874,0.092,0.206,0.456,0.245,0.542,0.497,1.678,3.098,0.215,1.756,3.086,2.194,1.921,2.033,3.336,1.442,2.051,1.036,0.465,1.174,1.099,1.01,1.738,0.251,0.706,0.474,2.51,0.606,1.125,0.594,0.391,0.399,1.142,0.64,2.273,1.559,2.237,4.398,1.326,1.67,0.869,0.91,0.907,0.41,0.625,0.82,1.061,0.945,0.339,1.002,1.176,2.074,0.876,1.091,0.964,0.955,0.938,0.771,1.49,1.556,1.722,1.361,1.576,0.866,2.338,1.062,0.541333333,0.903666667,1.035333333,1.858666667,0.337666667,0.483666667,0.3785,0.135,0.656333333,0.445666667
2015,0.611,0.562,1.257,1.257,0.221,0.519,0.881,0.532,1.098,0.663,2.102,2.681,0.207,1.248,1.238,1.857,2.931,2.369,3.274,1.566,2.87,1.906,0.643,2.051,2.996,1.106,1.818,0.366,0.67,0.565,2.385,0.721,1.713,0.82,0.64,0.419,3.74,1.717,3.083,2.053,3.4,5.152,1.371,1.591,0.422,0.827,1.062,0.117,0.638,0.468,0.649,0.73,0.358,0.982,0.968,1.865,2.101,0.993,0.925,0.767,1.626,0.821,1.461,2.09,1.986,1.56,1.463,0.944,3.398,1.303,0.339333333,0.658666667,0.829,1.645333333,0.214666667,0.491666667,0.3885,0.2615,0.580333333,0.385
2014,0.337,0.246,0.669,0.669,,0.182,0.536,0.271,0.567,0.353,2.553,2.781,1.464,1.467,3.113,2.355,4.251,2.987,3.932,1.696,1.244,1.228,0.272,0.795,2.243,0.742,1.171,0.203,0.55,0.549,1.887,0.55,1.26,0.753,0.626,0.713,2.741,1.003,2.379,1.653,4.097,5.156,1.964,1.471,0.379,0.466,0.561,0.525,0.132,0.385,1.203,1.117,0.493,1.358,2.199,2.148,2.733,1.975,2.398,1.257,0.672,0.346,0.907,1.394,1.222,0.913,1.226,0.574,1.156,0.55,0.355333333,0.563333333,0.681666667,1.233666667,0.189333333,0.359333333,0.259,0.2585,0.566,0.229333333
2013,0.663,0.232,0.931,0.931,,0.282,0.601,0.447,0.726,0.485,2.12,2.033,1.439,0.873,1.586,0.992,3.762,2.254,2.46,2.218,1.343,1.204,0.351,1.009,1.964,0.674,0.932,0.313,0.313,0.726,1.11,0.707,0.816,0.46,0.476,0.153,1.749,1.164,1.687,0.634,3.486,3.219,0.956,1.178,0.344,0.35,0.387,0.153,0.249,0.23,0.709,0.47,0.443,1.18,1.193,1.688,0.712,0.963,1.69,1.102,0.13,0,0.059,0.142,0.122,0.196,0.21,0.356,0.126,0.285,0.414666667,0.612666667,0.835333333,1.599,0.042,0.314,0.326,0.352,0.684333333,0.430333333
2012,0.468,0.25,0.823,0.823,,0.196,0.75,0.319,0.827,0.323,2.132,1.963,4.317,0.833,1.581,1.203,4.271,3.209,0.903,2.226,1.603,1.708,0.185,1.511,2.747,0.842,0.715,0.237,0.813,1.188,2.007,0.994,1.801,1.073,0.848,0.887,3.98,0.935,2.263,2.241,4.451,3.336,1.764,1.836,0.557,0.564,0.201,0.316,0.332,0.325,0.724,0.317,0.281,0.761,1.634,2.087,0.714,0.922,0.906,0.651,0.566,0.359,0.282,0.669,0.336,0.576,0.62,0.065,0.52,1.228,0.127,0.222666667,0.221333333,1.166666667,0.153666667,0.190333333,0.2065,0.5795,0.440666667,0.462
2011,0.74,0.259,1.279,1.279,,0.367,0.8,0.392,0.701,0.597,3.282,3.484,4.338,1.741,4.333,2.17,6.043,3.949,3.069,3.606,1.303,1.777,0.365,1.232,1.581,0.694,0.307,0.118,0.744,1.108,1.211,0.916,0.617,0.24,0.301,1.1,2.913,0.867,1.372,0.814,2.694,4.094,2.056,1.212,0.776,0.981,0.511,0.176,0.239,0.284,1.013,0.687,0.518,1.233,1.713,1.376,0.953,1.165,1.711,0.688,0,0,0.198,0.245,0.096,0.163,0.286,0.816,0.077,0.855,0.227333333,0.632,0.525666667,0.872333333,0.309666667,0.208666667,0.3455,0.911,0.444666667,0.571333333
