Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
2020,0.315,0.58,1.064,0.711,0.963,0.788,0.594,0.128,0.533,0.584,0.367,0.375,0.801,0.337,0.158,0.316,0.516,0.362,0.485,0.57,3.314,2.617,3.624,1.719,2.908,1.503,3.198,1.125,2.563,0.721,0.826,3.687,0.371,0.479,0.735,0.19,0.546,0.207,0.042,0.358,1.867,1.148,0.33,1.3,1.526,0.817,1.242,0.157,0.547,0.477,0.904,1.414,0.56,1.316,1.899,2.264,0.935,1.442,2.008,1.3,1.111,0.15,0.678,0.122,0.02,0.081,0.261,0.749,0.902,0.077,0.162,0.465,0.306,0.523,0.225,0.686,0.643,0.094,0.473,0.219
2019,0.363,0.664,1.187,0.676,0.83,0.819,0.376,0.135,0.535,0.398,0.44,0.348,0.836,0.38,0.125,0.203,0.512,0.324,0.375,0.704,1.135,2.086,3,1.002,2.627,1.584,2.308,0.916,1.87,1.955,0.738,3.072,0.461,0.523,0.89,0.405,0.424,0.309,0.068,1.338,2.37,1.523,0.628,2.257,1.859,1.219,1.488,0.29,0.731,0.466,0.675,0.896,0.462,0.931,2.058,1.228,1.125,1.195,0.881,0.823,2.123,0.598,1.821,0.478,0.45,0.282,0.369,1.028,1.728,0.827,0.72,0.756,0.912,0.84,0.612,1.156,2.069,0.727,1.093,0.795
2018,0.378,0.66,1.529,0.559,0.679,0.776,0.376,0.093,0.451,0.425,0.583,0.378,1.032,0.568,0.25,0.389,0.641,0.365,0.371,0.862,3.802,3.437,6.432,1.577,2.637,2.031,4.423,1.339,2.985,2.866,2.238,3.576,1.762,1.256,0.709,0.254,0.419,0.585,0.129,0.459,1.547,1.271,0.297,0.936,0.292,0.761,0.525,0.171,0.691,0.374,1.002,1.501,0.57,1.983,2.185,3.126,1.621,1.754,1.534,1.391,0.691,0.105,0.958,0.191,0.281,0.053,0.69,1.623,0.897,0.323,0.032,0.27,0.276,0.256,0.106,0.437,0.9,0.201,0.393,0.187
2017,0.521,0.985,1.186,0.495,0.363,0.851,0.497,0.064,0.588,0.388,0.543,0.571,1.06,0.619,0.388,0.367,0.875,0.469,0.498,0.855,4.582,3.332,5.232,1.692,4.043,2.461,3.174,1.469,2.526,3.553,1.309,3.935,2.206,0.664,0.645,0.482,0.25,0.469,0.082,0.76,1.913,1.52,0.565,1.557,0.63,1.115,1.891,0.48,0.964,0.642,0.882,1.32,0.418,1.296,1.848,2.875,0.815,1.329,1.497,1.213,2.671,0.695,2.691,0.326,0.672,0.37,1.053,1.217,1.664,1.179,1.036,1.471,1.147,1.252,1.394,1.614,1.782,0.952,2.629,1.879
2016,0.484,0.697,1.12,0.55,0.332,0.7,0.577,0.081,0.524,0.408,0.419,0.341,0.793,0.284,0.092,0.173,0.488,0.225,0.499,0.567,4.639,3.29,3.304,1.598,3.086,2.21,2.721,1.897,1.6,3.026,2.245,3.205,1.326,0.559,0.793,0.91,0.979,0.555,0.086,1.055,2.132,0.96,0.516,1.26,1.099,0.862,1.977,0.297,1.063,0.493,0.664,1.153,0.333,1.082,1.27,2.452,0.719,0.795,0.888,0.939,2.668,0.706,2.241,0.471,0.772,0.438,4.191,0.64,1.632,1.037,0.938,1.483,1.299,1.142,1.485,1.395,1.601,0.866,1.832,1.062
2015,0.322,0.639,0.962,0.43,0.212,0.597,0.502,0.202,0.591,0.282,0.508,0.856,1.259,0.681,0.221,0.503,0.809,0.62,0.897,0.595,3.821,2.715,3.462,1.375,1.238,1.82,2.563,1.705,1.534,3.009,3.359,4.624,1.371,1.324,0.538,0.827,0.788,0.205,0.189,0.731,2.392,1.761,0.872,2.051,2.996,1.284,2.539,0.429,1.234,0.577,0.536,0.741,0.342,1.006,1.062,2.07,2.188,1.118,0.69,0.872,3.193,0.896,2.648,0.425,1.097,0.712,6.44,1.717,2.084,1.193,1.626,1.261,1.745,1.404,2.108,2.195,1.471,0.944,2.592,1.303
2014,0.355,0.422,0.863,0.522,0.207,0.351,0.302,0.321,0.475,0.116,0.389,0.254,0.549,0.279,0.101,0.22,0.483,0.198,0.574,0.311,4.482,4.139,5.95,1.994,3.113,2.178,2.773,1.267,3.35,5.766,4.562,4.627,1.964,1.824,0.398,0.466,0.19,0.157,0.311,0.517,1.245,1.159,0.448,1.293,2.243,0.856,0.98,0.289,0.988,0.534,0.831,1.329,0.44,1.57,2.648,2.516,2.992,1.702,2.084,1.093,2.946,0.807,1.671,0.189,1.153,0.408,3.312,1.003,2.181,0.721,0.672,0.81,1.331,1.069,1.287,1.41,1.255,0.574,0.804,0.55
2013,0.323,0.366,0.945,0.383,0.139,0.363,0.485,0.37,0.613,0.109,0.494,0.18,0.983,0.527,0.259,0.327,0.431,0.435,0.894,0.573,2.077,2.058,2.481,0.732,1.586,1.188,2.068,0.619,2.319,3.38,2.485,2.285,0.956,1.58,0.326,0.35,0.374,0.553,0.327,0.363,1.262,1.203,0.478,1.109,1.964,0.718,0.763,0.325,0.9,0.813,0.787,0.684,0.455,1.151,1.05,2.144,1.005,1.119,1.679,1.111,1.723,0.768,1.045,0,0.668,0.312,4.437,1.164,1.394,0.315,0.13,0.123,0.071,0.094,0.125,0.197,0.19,0.356,0.703,0.285
2012,0.131,0.128,0.241,0.221,0.26,0.183,0.121,0.428,0.335,0.503,0.294,0.226,0.634,0.262,0.123,0.202,0.328,0.294,0.934,0.31,2.762,2.467,1.82,0.901,1.581,1.107,3.858,0.761,1.132,3.833,5.078,3.008,1.764,0.941,0.572,0.564,0.275,0.474,0.118,0.41,1.379,1.499,0.492,1.659,2.747,1.052,0.946,0.223,1.247,1.127,0.683,0.436,0.275,0.73,1.783,1.936,0.699,0.774,0.86,0.676,3.569,1.279,1.826,0.666,0.835,0.631,1.861,0.935,1.648,1.394,0.566,0.497,0.534,0.569,0.305,1.059,0.592,0.065,0.264,1.228
2011,0.242,0.45,0.378,0.214,0.177,0.125,0.348,0.895,0.443,0.582,0.759,0.314,1.347,0.44,0.29,0.322,0.553,0.487,0.99,0.657,3.702,3.123,2.151,1.974,4.333,2.055,6.025,1.78,2.765,5.723,3.913,4.208,2.056,1.514,0.924,0.981,0.416,0.406,0.081,0.393,1.31,1.555,0.333,1.222,1.581,0.942,0.566,0.104,1.071,0.872,0.963,0.707,0.464,1.182,1.81,2.711,0.9,1.134,1.152,0.628,2.051,0.818,0.958,0.113,0.331,0.112,1.401,0.867,1.095,0.61,0,0.286,0.04,0.219,0.109,0.293,0.335,0.816,1.746,0.855
